"ALPHA3CODE","NAME_A","NAME_C","NAME_E","NAME_F","NAME_R","NAME_S","AUTHOR"
"ORY","","","Orange roughy","Hoplostète orange","Большеголов атлантический (=берикс исландский)","Reloj anaranjado","Collett 1889"
"CLF","","","Freshwater clams n","Clams d'eau douce ","","Almejas de agua du",""
"SDV","","","Smooth-hounds nei","Émissoles nca","","Tollos nep",""
"OCQ","أُخطبوط كَسْر جَوْزة","栗树蛸","Chestnut octopus","Poulpe casse-noix","","Pulpo espadaña","(Sasaki 1917)"
"OQC","أُخطبوط أزرق ضخم","青蛸","Big blue octopus","Gros poulpe bleu","","Pulpo azulón","Gray 1849"
"EDQ","","","Longfin armorhead","","","","Hardy 1983"
"RTW","","","Jawed solenogaster","","","","Schwabl 1963"
"DDC","","","Leaf-spiculed sole","","","","Haeth 1911"
"NTX","","","Occidental tuskshe","","","","(Stimpson 1851)"
"DEG","","","Stained tuskshell","","","","Pilsbry & Sharp 1897"
"HMX","","","Nineside toothshel","","","","(Dall 1889)"
"USH","","","Salish toothshell","","","","E. Marshall 1980"
"PHA","","","South Pacific hake","Merlu du Pacifique","Мерлуза чилийско-перуанская","Merluza del Pacíf","(Guichenot 1848)"
"HKB","","","Benguela hake","Merlu d'Afrique tr","Мерлуза бенгальская","Merluza de Benguel","Cadenat 1950"
"HOF","","","Offshore silver ha","Merlu argenté du ","","Merluza blanca de ","(Mitchill 1818)"
"GRM","","","Patagonian grenadi","Grenadier de Patag","Макруронус американский","Merluza de cola","Lönnberg 1907"
"GRV","","","Grenadiers nei","Grenadiers nca","Макрурусы","Granaderos nep",""
"NZB","رُمّانية بَايرْد","巴特奈氏鳕","Marlin-spike grena","Grenadier de Baird","","Granadero narizón","(Goode & Bean 1877)"
"SNS","","","Longspine snipefis","Bécasse de mer","Бекас морской","Trompetero","(Linnaeus 1758)"
"LAG","","","Opah","Opah","Опах обыкновеннный","Opa","(Brünnich 1788)"
"DIQ","","","Northern royal alb","Albatros royal du ","","Albatros real del ","Murphy 1917"
"GBJ","سُنبُكِيَّة مُبيَضَّة","亚得利亚驼峰螺","White gibbula","Troque blanchâtre","","Peonza blanca","(Gmelin 1790)"
"GBX","سُنبُكِيَّة لامِعة","白驼峰螺","Red-brown gibbula","Troque brillant","","Peonza brillante","(von Salis 1793)"
"TRE","","","Jacks, crevalles n","Chinchards, carang","Каранксы","Jureles, pámpanos",""
"RUB","","","Blue runner","Carangue coubali","","Cojinúa negra","(Mitchill 1815)"
"CGX","","","Carangids nei","Carangidés nca","Ставридовые","Carángidos nep",""
"PVN","مرجان دِعام","巨型牡丹珊瑚","Pillar coral","Corail pilier","","Coral pilar","Verrill 1869"
"PVW","مرجان فُطر","易变牡丹珊瑚","Fungus coral","Corail champignon","","Coral callampa","Verrill 1864"
"QGN","إسفنج حَلَمِيّ","多刺角骨海绵","Shiny sponge","Éponge mammelonn ","","Esponja mamelonada","(Schmidt 1862)"
"QGZ","إسفنج جِلد","金帽角骨海绵","Leather sponge","Chimousse","","Esponja zimoca","Schmidt 1862"
"MHF","","","Wello fire coral","","","","Hemprich & Ehrenberg 1834"
"RQS","","","","","","","Uchida 1927"
"MHX","","","","","","",""
"MFX","","","Cannonball jellyfis...","Méduse tête-de-choux","","Medusa bala de cañon","Agassiz 1860"
"RQI","","","","","","","(Vanhoeffen 1888)"
"OIM","مرجان قُنبيط","鹿角杯形珊瑚","Cauliflower coral","Corail choufleur","","Coral coliflor","(Linnaeus 1758)"
"GQP","مرجان مَثْلَج","冰晶菌珊瑚","Ice-cube tray cora","Corail glacier","","Coral hielero","Dana 1846"
"CRX","","","Croakers nei","Tambours nca","","Corvinones nep",""
"CKM","","","Whitemouth croaker","Tambour rayé","","Corvinón rayado","(Desmarest 1823)"
"AGR","","","Freshwater drum","Malachigan","","Roncador de agua d","Rafinesque 1819"
"WEM","","","Totoaba","Acoupa totoaba","","Corvinata totoaba","(Gilbert 1890)"
"SWF","","","Spotted weakfish","Acoupa pintade","","Corvinata pintada","(Cuvier 1830)"
"STG","سمك ضعيف ملكي","犬牙石首鱼","Squeteague(=Gray w","Acoupa royal","","Corvinata real","(Bloch & Schneider 1801)"
"WKB","","","Smalltooth weakfis","Acoupa tident","","Corvinata pescada","(Jordan 1889)"
"WKS","","","Striped weakfish","Acoupa rayé","","Corvinata pescadil","(Cuvier 1829)"
"KQY","","","Brush coral","","","","(Dana 1846)"
"DSS","مرجان فُطر مُلتَويّ","扭曲石芝珊瑚","Distorted mushroom","Corail champignon ","","Coral callampa ret","(Michelin 1843)"
"OIY","قَرن العَلَنْد","杯形珊瑚","Elkhorn cora","Corne d'elan","","Cuerno de anta","Edwards & Haine 1860"
"OIX","مرجان مِسحَل","钢爪杯形珊瑚","Rasp coral","Corail lime","","Coral raspa","(Ellis & Solander 1786)"
"GIS","","","Jumbo flying squid","Encornet géant","Кальмар Гумбольдта (=кальмар гигантский)","Jibia gigante","(d’Orbigny 1835)"
"YPX","","","","","","",""
"BGX","","","","","","",""
"OQX","","","Bamboosharks nei","","","",""
"TWX","","","","","","",""
"GZX","","","Toothponies nei","","","",""
"UTX","","","","","","",""
"LZX","","","","","","",""
"VMX","","","","","","",""
"RPX","","","","","","",""
"AQX","","","","","","",""
"RJX","","","","","","",""
"MWX","","","","","","",""
"NQX","","","","","","",""
"UKX","","","","","","",""
"QTX","","","","","","",""
"SHG","","","American gizzard s","Alose noyer","","Sábalo molleja","(Lesueur 1818)"
"MHS","","","Brazilian menhaden","Menhaden du Brési","","Savela","(Spix & Agassiz 1829)"
"MHA","","","Atlantic menhaden","Menhaden tyran","","Lacha tirana","(Latrobe 1802)"
"BOA","","","Bonga shad","Ethmalose d'Afriqu","Бонга","Sábalo africano","(Bowdich 1825)"
"SAA","","","Round sardinella","Allache","Сардинелла круглая (=алаша)","Alacha","Valenciennes 1847"
"SAE","","","Madeiran sardinell","Grande allache","","Machuelo","(Lowe 1838)"
"GTJ","ذو الأذرُع العشر مادوكاي","马多开蟾乌贼","Madokai gonate squ","Encornet madokai","","Gonalura madokai","Kubodera & Okutani 1977"
"GTD","ذو الأذرُع العشر قصير الذراع","短甲蟾乌贼","Shortarm gonate sq","Encornet bras cour","","Gonalura bracicort","(Middendorff 1849)"
"GTY","","","","","","","Young 1972"
"HQB","حبارة قُبَّعة","伞形帆乌贼","Umbrella squid","Loutène bonnet","","Joyeluria membrano","(Férussac 1835)"
"HQL","حبارة مجوهرة مزهريَّة","相摸帆乌贼","Flowervase jewell ","Loutène vase","","Joyeluria floral","(Pfeffer 1912)"
"HQS","حبارة مجوهرة مُنقلِبة","反向帆乌贼","Reverse jewell squ","Loutène retourné","","Joyeluria invertid","(Verrill 1880)"
"HQC","","","","","","","(Taki 1964)"
"FTD","","","Scaled squid","Loutène commune","","Luria escamuda","Voss 1956"
"SRH","","","Silver-stripe roun","Hareng gracile","","Arenquillo de band","(Temminck & Schlegel 1846)"
"CLA","","","Black and Caspian ","Clupeonelle","Тюлька черноморско-каспийская (=килька)","Espadín del Mar N","(Nordmann 1840)"
"SPR","","","European sprat","Sprat","Шпрот европейский","Espadín","(Linnaeus 1758)"
"JCC","","","Greenfish","Trepang vert","","","Brandt 1835"
"AJQ","مَدوس شائعة","海月水母","Common jellyfish","Méduse commune","","Agua mala","(Linnaeus 1758)"
"SSB","","","Sand steenbras","Marbré","","Herrera","(Linnaeus 1758)"
"CMA","كلامة آسيويَّة","河蚬","Asian clam","Clam d'Asie","Корбикула азиатская","Almeja de Asia","(Muller 1774)"
"TDG","كلامة ضخمة","大砗磲","Giant clam","Tridacne géante","","Almeja gigante","(Linnaeus 1758)"
"SQC","","","Common squids nei","Calmars Loligo nca","Кальмары-лолиго","Calamares Loligo n",""
"SQP","","","Patagonian squid","Calmar de Patagoni","","Calamar patagónic","d’Orbigny 1835"
"SQL","","","Longfin squid","Calmar totam","Кальмар лолиго северо-американский (=кальмар длинноперый)","Calamar pálido","Lesueur 1821"
"CHO","","","Cape Hope squid","Calmar du Cap","","Calamar del Cabo","d’Orbigny 1845"
"SQT","حبارات خِناع إصبع ","壳乌贼未定种","Thumbstall squids ","Calmars doigtier n","","Calamares dedal ne",""
"OMZ","","","Ommastrephidae squ","Encornets Ommastre","","Potas Ommastrephid",""
"OMM","","","Flying squids nei","Faux encornets nca","","Potas voladoras ne",""
"OFJ","","","Neon flying squid","Encornet volant","Кальмар бартрама","Pota saltadora","(Lesueur 1821)"
"SQI","","","Northern shortfin ","Encornet rouge nor","Иллекс американский","Pota norteña","(Lesueur 1821)"
"IAZ","","","Flamboyant cuttlef","Seiche flamboyante","","Sepia llamativa","(Hoyle 1885)"
"NSD","تابير الكاب","六刺背棘鱼","Spiny-back eel","Tapir du Cap","","Espinudo del Cabo","Richardson 1846"
"CRI","تمساح النّيل","尼罗鳄","Nile crocodile","Crocodile du Nil","","Cocodrilo del Nilo","Laurenti 1768"
"CNG","تِمساح غِينيا الجديدة","新几内亚鳄","New Guinea crocodi","Crocodile de Nouve","","Cocodrilo de Nueva","Schmidt 1928"
"KDF","صَحنِيَّة أمريكية","弃主履螺","American slipper-l","Crepidule","","Seba","(Linnaeus 1758)"
"TXF","","","","","","","(Gronovius 1781)"
"EUG","حوت شمالي أو بسكاي","北露脊鲸","Northern right wha","Baleine de Biscaye","","Ballena franca","(Muller 1776)"
"CPM","حوت قزِمِيّ","小甲虫螺","Pygmy right whale","Baleine pygmée","","Ballena franca pig","(Gray 1846)"
"GRW","حوت رمادي","灰鲸","Gray whale","Baleine grise","Кит серый","Ballena gris","(Lilljeborg 1861)"
"PYW","عنبر قَزِمِيّ","小抹香鲸","Pygmy sperm whale","Cachalot pygmée","","Cachalote pigmeo","(de Blainville 1838)"
"DWW","عنبر قَزَم","侏儒抹香鲸","Dwarf sperm whale","Cachalot nain","","Cachalote enano","Owen 1866"
"JOD","","","John dory","Saint Pierre","Солнечник обыкновенный","Pez de San Pedro","Linnaeus 1758"
"BOR","","","Boarfishes nei","Sangliers nca","Капровые","Ochavos nep",""
"BOE","","","Black oreo","","Аллоцит черный","","James, Inada & Nakamura 1988"
"ALL","","","Warty dory","","","","(Gilchrist 1906)"
"BAR","","","Barracudas nei","Bécunes nca","Барракуды","Picudas nep",""
"ALF","","","Alfonsinos nei","Béryx nca","Бериксы","Alfonsinos nep",""
"ZNE","","","Mirror dory","","","","(Temminck & Schlegel 1845)"
"BAW","","","Arnoux's beaked wh","Béradien d'Arnoux","","Ballenato de Arnou","Duvernoy 1851"
"SRW","","","Southern bottlenos","Hyperoodon austral","","Ballena nariz de b","Flower 1882"
"YQY","","","Lynx cowrie","Porcelaine lynx","","","Linnaeus 1758"
"YQM","","","Reticulated cowrie","Porcelaine réticulée","","","Schilder 1932"
"YQO","","","Money cowrie","Porcelaine monnaie","","","Linnaeus 1758"
"YQV","","","Walled cowrie","Porcelaine anneau ","","","Lamarck 1810"
"YQX","","","Onyx cowrie","Porcelaine onyx","","","Linnaeus 1758"
"YQH","","","Schilders' cowrie","Porcelaine de Schil.","","","Iredale 1939"
"YPZ","","","Jester cowrie","Porcelaine bouffon","","","Gmelin 1791"
"YQN","","","Tummy cowrie","Porcelaine gésier","","","Lamarck 1810"
"OVO","","","Common egg cowrie","Ovule commune","","","(Linnaeus 1758)"
"TUN","","","Tunas nei","Thonidés nca","","Atunes nep",""
"BON","","","Atlantic bonito","Bonite à dos ray ","Пеламида атлантическая","Bonito del Atlánt","(Bloch 1793)"
"XKX","","","Plesionika shrimps","Crevettes Plesioni","","Camarones Plesioni",""
"KCS","","","King crabs","Crabes royaux","","Cangrejos rusos",""
"KCM","","","Subantarctic stone","Crabe royal subant","Краб Мюррея","Centolla subantár","Henderson 1888"
"KCA","","","King crab","Crabe royal","","Centolla","Filhol 1885"
"KCF","سرطان ملكي كُرويّ","台湾拟结节蟹","Globose king crab","Crabe royal sphér","","Centolla redonda","Henderson 1888"
"CRQ","","","Queen crab","Crabe des neiges","","Cangrejo de las ni","(Fabricius 1788)"
"NES","","","Indian Ocean lobst","Langoustine indien","","Cigala del Océano","Wood-Mason 1872"
"NEA","","","Andaman lobster","Langoustine andama","","Cigala de Andamán","(Wood-Mason 1891)"
"NEP","","","Norway lobster","Langoustine","","Cigala","(Linnaeus 1758)"
"SEZ","فُقمة ذات قُنْزعة","冠海豹","Hooded seal","Phoque à crete","Хохлач","Foca capuchina","(Erxleben 1777)"
"WST","","","Whip stingray","Pastenague du Paci","","Raya látigo del P","(Müller & Henle 1841)"
"EAG","","","Eagle rays nei","Aigles de mer nca","","Aguilas de mar nep",""
"RBY","","","Butterfly rays nei","Raies-papillon nca","","Rayas mariposa nep",""
"TOD","","","Electric rays nei","Torpilles, raies  ","","Tremielgas, torped",""
"CMO","خُرافة شائعة","银鲛","Rabbit fish","Chimère commune","Химера европейская","Quimera","Linnaeus 1758"
"ICJ","","","Carpathian lamprey","Lamproie carpathiq","","","Regan 1911"
"IKG","","","","","","","Renaud & Economidis 2010"
"IKJ","","","Greek brook lamprey","Lamproie de ruissea...","","","Vladykov, Renaud, Kott & Economidis 1982"
"SYO","كلب البحرذو فم صغير و أسنان حادَّة ","小口异鳞鲨","Smallmouth knifeto","Squale-grogneur à","","Bruja bocachica","(Vaillant 1888)"
"SBW","أُسبور مُخطَّط الشاطئ الغربي","短头石蛤鲷","West coast seabrea","Marbré de la côt","","Herrera de la cost","Smith 1962"
"CPP","","","Copper breams(=Hot","Hotentots nca","","Hotentotes nep",""
"HOB","أُُسبور هُوطَّانطوط","布氏切齿鲷","Hottentot seabream","Hottentot","","Sargo hotentote","(Valenciennes 1830)"
"SEV","","","Seventyfour seabre","Denté maculé","","Dentón manchado","(Regan 1908)"
"SLM","","","Salema","Saupe","Сарпа","Salema","(Linnaeus 1758)"
"SCP","","","Scup","Spare doré","Скап ","Sargo de América ","(Linnaeus 1766)"
"GEQ","جيليديوم عظيم","角石花菜","Giant gelidium","Gelidium imperial","","Ocle imperial","(Hudson) Lamouroux 1813"
"GJE","مِمْشاط الأعشاب الضّارّة","黑格尔软刺鱼蚤","Hackle weed","Rateau de Polyphem","","Rastrillo de mar","(Mertens ex Roth) Kützing 1843"
"GKA","قويعيّة يابِسَة ","草质江篱","Leather gracilaria","Gracilaire coriace","","Gracilaria coriace","(C. Agardh) J. Agardh 1842"
"LVB","لُورَانْسِيَا مُكلَّلة","钝形凹顶藻","Blunt laurenzia","Laurencia-cerises","","Laurencia de cerez","(Hudson) Lamouroux 1813"
"YGM","","","Marbled rock crab","Grapse marbré","","Juyón","(Fabricius 1787)"
"RSH","","","Rock shrimp","Boucot ovetgernade","","Camarón de piedra","Stimpson 1874"
"RRS","","","Royal red shrimp","Salicoque royale r","","Camarón rojo real","(Smith 1885)"
"KNS","","","Knife shrimp","Salicoque couteau","","Camarón navaja","Stebbing 1914"
"LOX","","","Lobsters nei","Langoustes, homard","","Langostas nep",""
"LOJ","","","Longlegged spiny l","Langouste diabloti","","Langosta duende","(A. Milne Edwards 1868)"
"LOY","","","Royal spiny lobste","Langouste royale","","Langosta real","De Brito Capello 1864"
"NOL","","","Painted notie","Bocassette écriva","","Doradillo escriban","(Lönnberg 1905)"
"NOZ","موروى الصخر ضِفدع","蟾形南极鱼","Toad notie","Bocassette crapaud","","Ojo de sapo","(Günther 1880)"
"TRL","","","Blunt scalyhead","","","","Regan 1914"
"YNQ","","","","","","","(Kützing) J. Agardh 1851"
"YAY","","","","","","","Tanaka 1947"
"YAD","","","","","","","Holmes 1895"
"YAK","","","","","","","(Suhr) Harvey 1847"
"CMB","تِمساح كوبا","古巴鳄","Cuban crocodile","Crocodile cubain","","Cocodrilo de Cuba","Cuvier 1807"
"CME","","","Morelet's crocodil","Crocodile de Morel","","","Bibron & Dumeril 1851"
"GHF","","","False gharial","Faux gavial","","","(Muller 1838)"
"SPO","","","Sponges","Éponges","Губки","Esponjas",""
"JEL","","","Jellyfishes nei","Méduses nca","Медузы-ропилемы","Medusas nep",""
"RXY","","","Meagres nei","Maigres nca","","Corvinas nep",""
"USX","","","","","","",""
"JOX","","","","","","",""
"NHX","","","","","","",""
"CSS","","","Hard corals, madre","Madrépores nca","","Madréporas nep",""
"COR","","","Precious corals ne","Coraux précieux n","","Corales preciosus ",""
"COJ","","","Aka coral","Corail aka","","Coral aka","Kishinouyi 1903"
"COK","مرجان أبيض","科氏红珊瑚","Shiro, white coral","Corail blanc","","Coral blanco",""
"ORG","","","Organpipe coral","","","","Linnaeus 1758"
"WOR","","","Marine worms","Vers marins","","Poliquetos",""
"ECH","","","Echinoderms","Oursins, bèches-d","","Erizos, cohombros ",""
"URX","","","Sea urchins, etc. ","Oursins, etc. nca","","Erizos, etc. nep",""
"IAX","","","Cuttlefishes nei","Seiches nca","","Sepias nep",""
"ILX","","","","","","",""
"WAX","","","","","","",""
"SZX","","","","","","",""
"KTD","","","","","","","(Bleeker 1846)"
"IEV","","","Patchwork cuttlefi","Seiche réticulée","","Sepia reticulada","Quoy & Gaimard 1832"
"OJG","","","Big bottom bobtail","Sépiole australe","","Globito austral","Berry 1918"
"AVH","","","Dotterel filefish","","","Lija jaspeada","Hollard 1855"
"EVK","","","Anchoviellas nei","Anchoviellas nca","","Anchoviellas nep",""
"CAO","","","Spotted catfish","Mâchoiron tachet ","","Bagre moteado","(Thunberg 1792)"
"CAE","سمك القط ذيل الإنقليس","鳗鲇属未定种","Eeltail catfishes","Balibots","","Patunas",""
"FJB","","","","","","",""
"PTP","","","Putitor mahseer","","","","(Hamilton 1822)"
"PTT","","","Tor barb","Barbeau tor","","Barbo tor","(Hamilton 1822)"
"KUR","","","Pond loach","Loche asiatique","Вьюн восточный","Misgurno de Asia","(Cantor 1842)"
"DRI","","","Indian driftfish","Ariomme indienne","","Arioma índica","(Day 1871)"
"BSP","","","Warehou nei","Sériolelles nca","Сериолеллы","Cojinobas nep",""
"SEM","","","Common warehou","","Варенху обыкновенный","","(Günther 1860)"
"FGG","","","Giant gourami","Gourami géant","Гурами настоящий (=гурами промысловый)","Gurami gigante","Lacépède 1801"
"GOM","","","Gouramis nei","Gouramis nca","","Guramis nep",""
